iter	Logloss
0	0.6613359099
1	0.6318823559
2	0.6045957408
3	0.5793296248
4	0.5559630068
5	0.5337959672
6	0.513576715
7	0.4949370126
8	0.4779087581
9	0.4616002975
10	0.4466762154
11	0.4332103897
12	0.4207409774
13	0.4089216485
14	0.3983282001
15	0.3885291153
16	0.3790962773
17	0.370720787
18	0.362760441
19	0.3554791289
20	0.3484308027
21	0.3419961031
22	0.3359992782
23	0.3307094833
24	0.3256698292
25	0.3210393435
26	0.3168466334
27	0.3128600622
28	0.3091144129
29	0.3046766499
30	0.3015920225
31	0.2985471508
32	0.2945273099
33	0.2919110374
34	0.2895548622
35	0.2873439028
36	0.2842496948
37	0.2822984563
38	0.2797658494
39	0.2770534028
40	0.2754364031
41	0.2741261748
42	0.2724444432
43	0.2710457915
44	0.2697660528
45	0.2686027763
46	0.2674287481
47	0.2665830369
48	0.2654792606
49	0.2641625532
50	0.2631157228
51	0.2616944949
52	0.2610280492
53	0.2598393257
54	0.2591159401555	0.2580016925656	0.2574966257	57	0.2569140358	58	0.256272565959	0.2556735656060	0.25456565
61	0.2535574842
62	0.2531085864
63	0.2519818156
64	0.2515665364
65	0.2510992448
66	0.2503117788
67	0.2499309727
68	0.249239965
69	0.2487755291
70	0.2485328169
71	0.2478674559
72	0.2475996988
73	0.2472792517
74	0.2470079072
75	0.2467596129
76	0.2463428322
77	0.2460733116
78	0.2457766943
79	0.2452870031
80	0.2450043974
81	0.2443597004
82	0.2441214118
83	0.2438246753
84	0.2432706306
85	0.2427710615
86	0.2425705827
87	0.2419673008
88	0.2417619184
89	0.2413076708
90	0.2409792673
91	0.2406489158
92	0.2403729346
93	0.2401762033
94	0.2398564999
95	0.2396268191
96	0.2392238791
97	0.2390353267
98	0.2388064453
99	0.2385084459
100	0.2383047728
101	0.2379826249
102	0.23766452671103	0.23746179811104	0.23705744441105	0.23682242451106	0.23665371371107	0.23646811108108	0.2363522109	109	0.2361228110	110	0.2359327111	111	0.2355788112	112	0.2354238113	113	0.2353636114	114	0.2353236115	115	0.2351238116	116	0.2350252117117	0.23496095118118	0.23476059119119	0.2346172412120	0.23449162312121	0.23411352122122	0.2338972812123	0.23383146212124	0.23364164612125	0.23348730912126	0.23335720412127	0.23322364312128	0.23321894712129	0.23308046813130	0.23295195213131	0.23292003013132	0.2326213981133	0.232491148
134	0.2323308882
135	0.2321193817
136	0.23210791191137	0.23210368891138	0.23188973441139	0.23187227841140	0.23179409481141	0.23178026451142	0.23168093941143	0.23164635841144	0.23144569891145	0.23129901
146	0.2312273978
147	0.2311030988
1776
