iter	Passed	Remaining
0	1269	379722
1	2406	358632
2	3523	348789
3	4979	368448
4	6758	398751
5	7898	387037
6	9000	376722
7	10439	381038
8	11777	380803
9	13053	378541
10	14390	378083
11	15567	373616
12	16741	369610
13	18045	368640
14	19523	370945
15	20652	366573
16	21869	364065
17	22708	355768
18	24030	355392
19	25232	353260
20	26258	348863
21	27445	346813
22	28697	345614
23	29874	343554
24	31115	342265
25	32391	341357
26	33718	340931
27	34770	337772
28	36075	337116
29	37573	338160
30	38743	336194
31	39957	334644
32	41278	333980
33	42608	333346
34	43949	332758
35	45288	332112
36	46601	331246
37	47694	328844
38	48934	327482
39	50291	326894
40	51552	325661
41	52848	324641
42	54333	324738
43	55617	323593
44	57048	323276
45	58644	323819
46	59904	322462
47	60999	320247
48	62366	319469
49	63566	317831
50	64940	317062
51	66495	317130
52	68046	317122
53	69352	315939
54	70531	314186
55	72011	313764
56	73274	312378
57	74478	310756
58	75845	309808
59	77213	308854
60	78491	307534
61	79847	306511
62	81022	304799
63	82233	303234
64	83624	302333
65	84927	301106
66	86340	300260
67	87904	299910
68	89162	298501
69	90718	298073
70	92058	296920
71	93601	296403
72	94802	294797
73	96220	293863
74	97747	293242
75	99106	292103
76	100511	291090
77	101865	289924
78	103404	289270
79	104686	287886
80	105953	286465
81	107292	285240
82	108760	284350
83	110070	283037
84	111489	282004
85	112815	280726
86	114159	279495
87	115466	278169
88	116951	277267
89	118410	276292
90	119994	275591
91	121611	274946
92	123066	273922
93	124741	273369
94	126109	272130
95	127560	271066
96	128995	269960
97	130454	268897
98	131745	267483
99	133073	266146
100	134415	264839
101	136028	264054
102	137429	262851
103	138904	261780
104	140295	260549
105	141663	259271
106	143103	258121
107	144464	256824
108	145868	255603
109	147290	254410
110	148716	253219
111	150062	251890
112	151539	250777
113	152907	249480
114	154243	248131
115	155647	246889
116	156987	245544
117	158471	244422
118	159853	243137
119	161286	241930
120	162667	240640
121	164196	239565
122	165751	238519
123	167084	237151
124	168368	235715
125	169832	234530
126	171427	233519
127	173088	232587
128	174256	230991
129	175807	229902
130	177292	228720
131	178475	227151
132	179915	225909
133	181248	224531
134	182657	223248
135	183991	221872
136	185485	220687
137	186741	219218
138	188096	217867
139	189410	216468
140	190749	215099
141	192058	213699
142	193379	212311
143	194818	211053
144	196345	209887
145	197769	208606
146	199123	207251
147	200417	205834
