iter	Passed	Remaining
0	97	9669
1	187	9205
2	262	8495
3	331	7954
4	407	7749
5	480	7523
6	556	7395
7	624	7177
8	705	7133
9	773	6960
10	854	6911
11	924	6777
12	963	6448
13	1038	6377
14	1086	6157
15	1158	6080
16	1237	6043
17	1280	5834
18	1359	5795
19	1431	5727
20	1481	5572
21	1555	5516
22	1668	5586
23	1796	5689
24	1912	5736
25	1980	5636
26	2057	5563
27	2130	5478
28	2206	5402
29	2275	5308
30	2315	5153
31	2346	4987
32	2414	4902
33	2493	4840
34	2563	4761
35	2640	4694
36	2707	4610
37	2756	4497
38	2824	4418
39	2900	4350
40	2968	4271
41	3041	4199
42	3110	4123
43	3190	4060
44	3258	3982
45	3335	3916
46	3406	3841
47	3485	3775
48	3561	3707
49	3650	3650
50	3722	3576
51	3805	3512
52	3876	3437
53	3954	3368
54	4021	3290
55	4096	3218
56	4165	3142
57	4207	3046
58	4278	2972
59	4356	2904
60	4425	2829
61	4504	2760
62	4574	2686
63	4654	2618
64	4728	2546
65	4804	2474
66	4874	2400
67	4951	2330
68	5019	2255
69	5104	2187
70	5179	2115
71	5257	2044
72	5300	1960
73	5345	1878
74	5417	1805
75	5492	1734
76	5560	1660
77	5636	1589
78	5707	1517
79	5784	1446
80	5854	1373
81	5931	1301
82	6001	1229
83	6078	1157
84	6151	1085
85	6226	1013
86	6300	941
87	6376	869
88	6401	791
89	6476	719
90	6501	643
91	6573	571
92	6644	500
93	6717	428
94	6783	357
95	6862	285
96	6930	214
97	7003	142
98	7055	71
99	7133	0
