iter	Logloss
0	0.6815721503
1	0.6710941129
2	0.6610709946
3	0.6534615261
4	0.6491183771
5	0.6428104537
6	0.638495435
7	0.6331058667
8	0.6297997172
9	0.6275253685
10	0.6261162764
11	0.623247627
12	0.6199149812
13	0.6168666181
14	0.6155937809
15	0.6135479822
16	0.6122752466
17	0.6096383939
18	0.6068842305
19	0.6050558771
20	0.6036481146
21	0.6015919391
22	0.5996356806
23	0.5986348384
24	0.597787147
25	0.597101058
26	0.5961585348
27	0.5949322305
28	0.5933661429
29	0.5919250689
30	0.5899578967
31	0.5892057401
32	0.5878919741
33	0.5871410872
34	0.5865974868
35	0.5860736306
36	0.5852270603
37	0.5843314968
38	0.5838899492
39	0.5833246614
40	0.5827369398
41	0.5821606703
42	0.5815578234
43	0.5807532423
44	0.5800405895
45	0.5789770629
46	0.5787588464
47	0.5783833939
48	0.5776566421
49	0.5770697778
50	0.5764327719
51	0.5760548887
52	0.5756348681
53	0.5750771812
54	0.5741806501
55	0.5731595863
56	0.5730022244
57	0.5724005562
58	0.5719582666
59	0.5715321257
60	0.5712178498
61	0.5710457973
62	0.5700801478
63	0.5698682503
64	0.569503816
65	0.5692029778
66	0.5689583719
67	0.5680593396
68	0.5676843444
69	0.56759208
70	0.5669688969
71	0.5666208468
72	0.5659287988
73	0.5645635366
74	0.5640725341
75	0.5637274228
76	0.56319976
77	0.5630530974
78	0.5620661522
79	0.5617974357
80	0.5616587812
81	0.5611182337
82	0.5609495201
83	0.5606776941
84	0.5600378629
85	0.5597641183
86	0.559439387
87	0.5591030707
88	0.5589173668
89	0.5587681336
90	0.5582077428
91	0.5579439383
92	0.5574230022
93	0.5573660033
94	0.5566964105
95	0.5566502255
96	0.5563733043
97	0.5561010928
98	0.555747878
99	0.5550616657
100	0.5541907761
101	0.5541828515
102	0.5537667301
103	0.5531292199
104	0.5526797831
105	0.5521938774
106	0.5515033474
107	0.5505591613
108	0.549153524
109	0.5483997043
110	0.5474415156
111	0.546440511
112	0.5455873892
113	0.5444560512
114	0.5434253941
115	0.5427264706
116	0.5415694151
117	0.5403202776
118	0.539070436
119	0.5376352977
120	0.5372649896
121	0.5362200775
122	0.5353847525
123	0.5341973291
124	0.5330828334
125	0.5319052589
126	0.5299364332
127	0.5289015223
128	0.5281003186
129	0.5271078787
130	0.5259376019
131	0.5253862898
132	0.5247919067
133	0.5241607248
134	0.5234188345
135	0.522711624
136	0.5219444986
137	0.5207929413
138	0.5194242139
139	0.518664878
140	0.5168195623
141	0.5162191951
142	0.5153941648
143	0.5148851945
144	0.5142679187
145	0.513181176
146	0.5121191662
147	0.5116159826
148	0.5109504202
149	0.5092677351
